order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,101,Joseph Kim,4,GTAV,Video Game,UPI,38,2280,2020-06-16 16:27:17,USA,Austin,shop.hasbro.com/en-us,46502,Y,
2,102,Aaron Jackson,28,Exploding Kittens,Card Game,Internet Banking,28,560,2020-07-16 11:59:37,India,Ahmedabad,www.amazon.in,69423,Y,
3,103,Kimberly Sanders,43,Donatello,Doll,Internet Banking,12,420,2022-01-14 19:50:38,Russia,Moscow,www.ebay.ru,36182,Y,
4,104,Maurice Vance,19,Candy Land,Board Game,Wallet,5,100,2020-12-05 02:00:24,Germany,Nuremburg,www.ebay.de,90740,Y,
5,105,Sheila Hernandez,30,Uno,Card Game,Wallet,6,30,2020-06-05 19:12:29,USA,Los Angeles,www.amazon.com,75294,Y,
6,106,Mary Stanton,37,Jade,Doll,Card,42,840,2020-10-18 17:42:36,Cameroon,Douala,www.bazar.cm,36203,Y,
7,107,Marcus Gill,43,Donatello,Doll,Card,29,1015,2021-12-02 06:23:08,Japan,Nara,www.walmart.co.jp,98684,Y,
8,108,Isaac Robles MD,19,Candy Land,Board Game,Wallet,24,480,2021-02-04 13:08:30,UK,Belfast,www.thetoyshop.com/en-de,20545,Y,
9,109,Courtney Gray,39,Yasmin,Doll,UPI,27,540,2022-06-23 06:32:55,USA,New York City,www.fatbraintoys.com,39681,Y,
10,110,Caitlin Gonzalez,28,Exploding Kittens,Card Game,Internet Banking,34,680,2020-06-05 07:51:38,Germany,Nuremburg,www.shopdisney.de,16199,Y,
11,111,Michael Phelps,2,Super Mario Odyssey,Video Game,Internet Banking,24,1440,2021-05-05 11:12:03,Mali,Bamako,www.affariyet.ml,51822,Y,
12,112,Philip Johnson,20,The Game of Life,Board Game,Card,3,60,2020-03-05 19:00:08,UK,Edinburgh,products.hasbro.com/en-gb,78306,Y,
13,113,Stephanie Pierce,33,Pokémon: TCG,Card Game,Wallet,5,150,2021-12-26 06:39:56,Mexico,San Miguel de Allende,www.ebay.com/en-mx,92576,N,invalid address
14,114,Jacob Andrews,25,Scrabble,Board Game,Card,21,420,2020-06-23 00:07:22,Russia,Sochi,www.utkonos.ru,40018,Y,
15,115,Susan Leach,19,Candy Land,Board Game,UPI,50,1000,2020-09-14 18:32:37,Nigeria,Aba,www.easybuyafrica.com.ng,81035,Y,
16,116,Gary Murphy,29,Coup,Card Game,UPI,31,465,2022-05-02 12:39:03,Cameroon,Douala,www.kilimall.cm,26665,Y,
17,117,Robert Burnett,31,Magic: The Gathering,Card Game,Wallet,18,900,2020-11-22 07:30:05,Germany,Hamburg,www.ustoy.com/en-de,75148,Y,
18,118,Andrew Cohen,41,Superman,Doll,Internet Banking,51,1530,2021-12-04 17:49:49,India,Bengaluru,www.patymmall.in,19228,Y,
19,119,Vanessa Banks,26,Standard Deck of Cards,Card Game,Card,24,240,2021-05-02 08:55:37,Mexico,San Miguel de Allende,products.hasbro.com/es-mx,19872,Y,
20,120,Jeffrey Williams,22,Battleship,Board Game,Card,8,160,2020-05-11 16:07:20,Australia,Sydney,products.hasbro.com/es-mx,86608,N,expired card
21,121,Tyler Contreras,44,Raphael,Doll,UPI,45,1575,2020-09-09 14:33:34,Russia,Nizhny Novgorod,www.fatbraintoys.ru,71641,Y,
22,122,Jeffrey Parks,48,Iron Man,Doll,Card,37,925,2022-06-04 05:23:07,Canada,Edmonton,www.shopdisney.ca,31808,Y,
23,123,Jon Ray,31,Magic: The Gathering,Card Game,UPI,44,2200,2022-05-21 14:39:34,Germany,Cologne,www.amazon.de,81359,Y,
24,124,Theresa Rodriguez,29,Coup,Card Game,Card,29,435,2021-03-29 02:26:03,USA,San Francisco,www.toywiz.com,62596,Y,
25,125,Elizabeth Bates,43,Donatello,Doll,Card,48,1680,2021-01-12 17:40:55,China,Guangzhou,www.pinduoduo.cn,30421,Y,
26,126,Andrea Chapman,34,Apples to Apples,Card Game,Internet Banking,19,475,2020-01-31 22:36:55,China,Shenzhen,www.ustoy.com/en-cn,14682,Y,
27,127,Jill Johnson,40,Chloe,Doll,UPI,34,680,2021-10-15 05:12:37,Russia,Chelyabinsk,www.utkonos.ru,36745,Y,
28,128,Jermaine Wright,16,Trouble,Board Game,UPI,51,1020,2022-02-10 04:13:50,Nigeria,Aba,www.bayqi.com.ng,73701,Y,
29,129,Michael Mccullough,22,Battleship,Board Game,Wallet,9,180,2021-01-04 12:10:46,USA,New York City,www.amazon.com,85810,Y,
30,130,Mr. David Stevens,26,Standard Deck of Cards,Card Game,Card,43,430,2022-07-04 03:06:51,USA,New York City,www.ustoy.com,27829,Y,
31,131,Erin Hudson DVM,35,Monopoly:Deal,Card Game,UPI,47,470,2020-10-13 07:24:56,UK,Liverpool,www.ebay.co.uk,42625,Y,
32,132,Johnny Foster,35,Monopoly:Deal,Card Game,Wallet,42,420,2020-09-04 15:23:14,China,Shenzhen,www.jd.cn,28427,Y,
33,133,Donald Williamson,35,Monopoly:Deal,Card Game,Internet Banking,40,400,2022-05-28 20:33:46,USA,Las Vegas,shop.mattel.com,19493,Y,
34,134,David Dixon,3,Pokémon Soulsilver,Video Game,Card,41,1640,2020-09-15 10:55:47,China,Wuhan,www.kohls.com/en-cn,38605,Y,
35,135,Deborah Osborne,27,Cards Against Humanity,Card Game,UPI,5,125,2021-05-18 02:27:41,Germany,Hamburg,www.mediamarket.de,43808,Y,
36,136,Michele Hayes,46,The Hulk,Doll,Card,45,1350,2021-07-20 03:17:58,Canada,Calgary,www.kohls.com/en-ca,18153,Y,
